name,wins,losses,total_combats,win_rate,id,types,attack,defense,hp,speed
Mew,3.0,0.0,3.0,1.0,166.0,Psychic,100.0,100.0,100.0,100.0
Purugly,3.0,0.0,3.0,1.0,481.0,Normal,82.0,64.0,71.0,112.0
Raikou,3.0,0.0,3.0,1.0,263.0,Electric,85.0,75.0,90.0,115.0
  Scolipede  ,2.0,0.0,2.0,1.0,606.0,Bug/Poison,100.0,89.0,60.0,112.0
Golduck,2.0,0.0,2.0,1.0,61.0,Water,82.0,78.0,80.0,85.0
Hoothoot,2.0,0.0,2.0,1.0,178.0,Normal/Flying,30.0,30.0,60.0,50.0
Whimsicott,2.0,0.0,2.0,1.0,608.0,Grass/Fairy,67.0,85.0,60.0,116.0
Azelf,14.0,1.0,15.0,0.9333,540.0,Psychic,125.0,70.0,75.0,115.0
Jirachi,13.0,1.0,14.0,0.9286,428.0,Steel/Psychic,100.0,100.0,100.0,100.0
Serperior,11.0,1.0,12.0,0.9167,557.0,Grass,75.0,95.0,75.0,113.0
Meloetta Aria Forme,10.0,1.0,11.0,0.9091,716.0,Normal/Psychic,77.0,77.0,100.0,90.0
Kyurem White Kyurem,9.0,1.0,10.0,0.9,713.0,Dragon/Ice,120.0,90.0,125.0,95.0
Latias,9.0,1.0,10.0,0.9,418.0,Dragon/Psychic,80.0,90.0,80.0,110.0
Pidgeot,9.0,1.0,10.0,0.9,23.0,Normal/Flying,80.0,75.0,83.0,101.0
Weavile,9.0,1.0,10.0,0.9,513.0,Dark/Ice,120.0,65.0,70.0,125.0
Yveltal,9.0,1.0,10.0,0.9,794.0,Dark/Flying,131.0,95.0,126.0,99.0
63,8.0,1.0,9.0,0.8889,,,,,,
Braviary,8.0,1.0,9.0,0.8889,690.0,Normal/Flying,123.0,75.0,100.0,80.0
Cinccino,8.0,1.0,9.0,0.8889,635.0,Normal,95.0,60.0,75.0,115.0
Deoxys Speed Forme,8.0,1.0,9.0,0.8889,432.0,Psychic,95.0,90.0,50.0,180.0
Floatzel,8.0,1.0,9.0,0.8889,467.0,Water,105.0,55.0,85.0,115.0
Gligar,8.0,1.0,9.0,0.8889,223.0,Ground/Flying,75.0,105.0,65.0,85.0
Gourgeist Average Size,8.0,1.0,9.0,0.8889,785.0,Ghost/Grass,90.0,122.0,65.0,84.0
Hitmontop,8.0,1.0,9.0,0.8889,257.0,Fighting,95.0,95.0,50.0,70.0
Mega Salamence,8.0,1.0,9.0,0.8889,410.0,Dragon/Flying,145.0,130.0,95.0,120.0
Tornadus Incarnate Forme,8.0,1.0,9.0,0.8889,703.0,Flying,115.0,70.0,79.0,111.0
Zebstrika,8.0,1.0,9.0,0.8889,583.0,Electric,100.0,63.0,75.0,116.0
Articuno,7.0,1.0,8.0,0.875,157.0,Ice/Flying,85.0,100.0,90.0,85.0
Entei,7.0,1.0,8.0,0.875,264.0,Fire,115.0,85.0,115.0,100.0
Heat Rotom,7.0,1.0,8.0,0.875,533.0,Electric/Fire,65.0,107.0,50.0,86.0
Medicham,7.0,1.0,8.0,0.875,336.0,Fighting/Psychic,60.0,75.0,60.0,80.0
Mega Rayquaza,7.0,1.0,8.0,0.875,427.0,Dragon/Flying,180.0,100.0,105.0,115.0
Mega Sharpedo,7.0,1.0,8.0,0.875,350.0,Water/Dark,140.0,70.0,70.0,105.0
Simisage,7.0,1.0,8.0,0.875,572.0,Grass,98.0,63.0,75.0,101.0
Swoobat,7.0,1.0,8.0,0.875,588.0,Psychic/Flying,57.0,55.0,67.0,114.0
Talonflame,7.0,1.0,8.0,0.875,732.0,Fire/Flying,81.0,71.0,78.0,126.0
Tranquill,7.0,1.0,8.0,0.875,580.0,Normal/Flying,77.0,62.0,62.0,65.0
Tropius,7.0,1.0,8.0,0.875,391.0,Grass/Flying,68.0,83.0,99.0,51.0
Uxie,7.0,1.0,8.0,0.875,538.0,Psychic,75.0,130.0,75.0,95.0
Garchomp,13.0,2.0,15.0,0.8667,494.0,Dragon/Ground,130.0,95.0,108.0,102.0
Aegislash Blade Forme,6.0,1.0,7.0,0.8571,751.0,Steel/Ghost,150.0,50.0,60.0,60.0
Electrike,6.0,1.0,7.0,0.8571,338.0,Electric,45.0,40.0,40.0,65.0
Emolga,6.0,1.0,7.0,0.8571,649.0,Electric/Flying,75.0,60.0,55.0,103.0
Frost Rotom,6.0,1.0,7.0,0.8571,535.0,Electric/Ice,65.0,107.0,50.0,86.0
Kyurem,6.0,1.0,7.0,0.8571,711.0,Dragon/Ice,130.0,90.0,125.0,95.0
Lilligant,6.0,1.0,7.0,0.8571,610.0,Grass,60.0,75.0,70.0,90.0
Magmortar,6.0,1.0,7.0,0.8571,519.0,Fire,95.0,67.0,75.0,83.0
Manectric,6.0,1.0,7.0,0.8571,339.0,Electric,75.0,60.0,70.0,105.0
Mantine,6.0,1.0,7.0,0.8571,245.0,Water/Flying,40.0,70.0,65.0,70.0
Mega Absol,6.0,1.0,7.0,0.8571,394.0,Dark,150.0,60.0,65.0,115.0
Mega Gyarados,6.0,1.0,7.0,0.8571,142.0,Water/Dark,155.0,109.0,95.0,81.0
Mega Pinsir,6.0,1.0,7.0,0.8571,138.0,Bug/Flying,155.0,120.0,65.0,105.0
Shedinja,6.0,1.0,7.0,0.8571,317.0,Bug/Ghost,90.0,45.0,1.0,40.0
Vanilluxe,6.0,1.0,7.0,0.8571,646.0,Ice,95.0,85.0,71.0,79.0
Yanmega,6.0,1.0,7.0,0.8571,521.0,Bug/Flying,76.0,86.0,86.0,95.0
Groudon,11.0,2.0,13.0,0.8462,424.0,Ground,150.0,140.0,100.0,90.0
Jolteon,11.0,2.0,13.0,0.8462,147.0,Electric,65.0,60.0,65.0,130.0
Pachirisu,11.0,2.0,13.0,0.8462,465.0,Electric,45.0,70.0,60.0,95.0
Terrakion,11.0,2.0,13.0,0.8462,701.0,Rock/Fighting,129.0,90.0,91.0,108.0
Jynx,10.0,2.0,12.0,0.8333,134.0,Ice/Psychic,50.0,35.0,65.0,95.0
Manaphy,10.0,2.0,12.0,0.8333,549.0,Water,100.0,100.0,100.0,100.0
Murkrow,10.0,2.0,12.0,0.8333,214.0,Dark/Flying,85.0,42.0,60.0,91.0
Reshiram,10.0,2.0,12.0,0.8333,707.0,Dragon/Fire,120.0,100.0,100.0,90.0
Basculin,5.0,1.0,6.0,0.8333,611.0,Water,92.0,65.0,70.0,98.0
Carvanha,5.0,1.0,6.0,0.8333,348.0,Water/Dark,90.0,20.0,45.0,65.0
Deerling,5.0,1.0,6.0,0.8333,647.0,Normal/Grass,60.0,50.0,60.0,75.0
Delibird,5.0,1.0,6.0,0.8333,244.0,Ice/Flying,55.0,45.0,45.0,75.0
Electivire,5.0,1.0,6.0,0.8333,518.0,Electric,123.0,67.0,75.0,95.0
Fan Rotom,5.0,1.0,6.0,0.8333,536.0,Electric/Flying,65.0,107.0,50.0,86.0
Fletchinder,5.0,1.0,6.0,0.8333,731.0,Fire/Flying,73.0,55.0,62.0,84.0
Flygon,5.0,1.0,6.0,0.8333,362.0,Ground/Dragon,100.0,80.0,80.0,100.0
Hydreigon,5.0,1.0,6.0,0.8333,697.0,Dark/Dragon,105.0,90.0,92.0,98.0
Metagross,5.0,1.0,6.0,0.8333,413.0,Steel/Psychic,135.0,130.0,80.0,70.0
Munchlax,5.0,1.0,6.0,0.8333,496.0,Normal,85.0,40.0,135.0,5.0
Ninjask,5.0,1.0,6.0,0.8333,316.0,Bug/Flying,90.0,45.0,61.0,160.0
Rapidash,5.0,1.0,6.0,0.8333,85.0,Fire,100.0,70.0,65.0,105.0
Stunky,5.0,1.0,6.0,0.8333,483.0,Poison/Dark,63.0,47.0,63.0,74.0
Suicune,5.0,1.0,6.0,0.8333,265.0,Water,75.0,115.0,100.0,85.0
Throh,5.0,1.0,6.0,0.8333,599.0,Fighting,100.0,85.0,120.0,45.0
Typhlosion,5.0,1.0,6.0,0.8333,172.0,Fire,84.0,78.0,78.0,100.0
Zoroark,5.0,1.0,6.0,0.8333,633.0,Dark,105.0,60.0,60.0,105.0
Salamence,9.0,2.0,11.0,0.8182,409.0,Dragon/Flying,135.0,80.0,95.0,100.0
Toxicroak,9.0,2.0,11.0,0.8182,505.0,Poison/Fighting,106.0,65.0,83.0,85.0
Hitmonchan,8.0,2.0,10.0,0.8,116.0,"Fighting, Fairy",105.0,79.0,50.0,76.0
Krookodile,8.0,2.0,10.0,0.8,614.0,Ground/Dark,117.0,80.0,95.0,92.0
Mega Diancie,8.0,2.0,10.0,0.8,797.0,Rock/Fairy,160.0,110.0,50.0,110.0
Primal Groudon,8.0,2.0,10.0,0.8,425.0,Ground/Fire,180.0,160.0,100.0,90.0
Remoraid,8.0,2.0,10.0,0.8,242.0,Water,65.0,35.0,35.0,65.0
Sharpedo,8.0,2.0,10.0,0.8,349.0,Water/Dark,120.0,40.0,70.0,95.0
Tentacruel,8.0,2.0,10.0,0.8,80.0,Water/Poison,70.0,65.0,80.0,100.0
Wash Rotom,8.0,2.0,10.0,0.8,534.0,Electric/Water,65.0,107.0,50.0,86.0
Alakazam,4.0,1.0,5.0,0.8,71.0,Psychic,50.0,45.0,55.0,120.0
Archeops,4.0,1.0,5.0,0.8,629.0,Rock/Flying,140.0,65.0,75.0,110.0
Delphox,4.0,1.0,5.0,0.8,724.0,Fire/Psychic,69.0,72.0,75.0,104.0
Golbat,4.0,1.0,5.0,0.8,48.0,Poison/Flying,80.0,70.0,75.0,90.0
Haxorus,4.0,1.0,5.0,0.8,674.0,Dragon,147.0,90.0,76.0,97.0
Ho-oh,4.0,1.0,5.0,0.8,271.0,Fire/Flying,130.0,90.0,106.0,90.0
Lugia,4.0,1.0,5.0,0.8,270.0,Psychic/Flying,90.0,130.0,106.0,110.0
Lumineon,4.0,1.0,5.0,0.8,508.0,Water,69.0,76.0,69.0,91.0
Poliwhirl,4.0,1.0,5.0,0.8,67.0,Water,65.0,65.0,65.0,90.0
Shaymin Land Forme,4.0,1.0,5.0,0.8,551.0,Grass,100.0,100.0,100.0,100.0
Umbreon,4.0,1.0,5.0,0.8,213.0,Dark,65.0,110.0,95.0,65.0
Kabutops,11.0,3.0,14.0,0.7857,153.0,Rock/Water,115.0,105.0,60.0,80.0
Arbok,7.0,2.0,9.0,0.7778,30.0,Poison,85.0,69.0,60.0,80.0
Drapion,7.0,2.0,9.0,0.7778,503.0,Poison/Dark,90.0,110.0,70.0,95.0
Klefki,7.0,2.0,9.0,0.7778,778.0,Steel/Fairy,80.0,91.0,57.0,75.0
Mamoswine,7.0,2.0,9.0,0.7778,525.0,Ice/Ground,130.0,80.0,110.0,80.0
Purrloin,7.0,2.0,9.0,0.7778,569.0,Dark,50.0,37.0,41.0,66.0
Unfezant,7.0,2.0,9.0,0.7778,581.0,Normal/Flying,115.0,80.0,80.0,93.0
Vivillon,7.0,2.0,9.0,0.7778,735.0,"Bug, Flying/Flying",52.0,50.0,80.0,89.0
Mega Manectric,10.0,3.0,13.0,0.7692,340.0,Electric,75.0,80.0,70.0,135.0
Chatot,9.0,3.0,12.0,0.75,490.0,Normal/Flying,65.0,45.0,76.0,91.0
Electrode,9.0,3.0,12.0,0.75,110.0,Electric,50.0,70.0,60.0,140.0
Espeon,9.0,3.0,12.0,0.75,212.0,Psychic,65.0,60.0,65.0,110.0
Gardevoir,9.0,3.0,12.0,0.75,306.0,Psychic/Fairy,65.0,65.0,68.0,80.0
Roserade,9.0,3.0,12.0,0.75,453.0,Grass/Poison,70.0,65.0,60.0,90.0
DeoxysAttack Forme,6.0,2.0,8.0,0.75,430.0,Psychic,180.0,20.0,50.0,150.0
Fearow,6.0,2.0,8.0,0.75,28.0,Normal/Flying,90.0,65.0,65.0,100.0
Genesect,6.0,2.0,8.0,0.75,718.0,Bug/Steel,120.0,95.0,71.0,99.0
Heliolisk,6.0,2.0,8.0,0.75,766.0,Electric/Normal,55.0,52.0,62.0,109.0
Infernape,6.0,2.0,8.0,0.75,438.0,Fire/Fighting,104.0,71.0,76.0,108.0
Liepard,6.0,2.0,8.0,0.75,570.0,Dark,88.0,50.0,64.0,106.0
Mega Altaria,6.0,2.0,8.0,0.75,367.0,Dragon/Fairy,110.0,110.0,75.0,80.0
Mega Kangaskhan,6.0,2.0,8.0,0.75,125.0,Normal,125.0,100.0,105.0,100.0
Mega Tyranitar,6.0,2.0,8.0,0.75,269.0,Rock/Dark,164.0,150.0,100.0,71.0
Ninetales,6.0,2.0,8.0,0.75,44.0,Fire,76.0,75.0,73.0,100.0
Nuzleaf,6.0,2.0,8.0,0.75,298.0,Grass/Dark,70.0,40.0,70.0,60.0
Onix,6.0,2.0,8.0,0.75,104.0,Rock/Ground,45.0,160.0,35.0,70.0
Pinsir,6.0,2.0,8.0,0.75,137.0,Bug,125.0,100.0,65.0,85.0
Qwilfish,6.0,2.0,8.0,0.75,228.0,Water/Poison,95.0,75.0,65.0,85.0
Rayquaza,6.0,2.0,8.0,0.75,426.0,Dragon/Flying,150.0,90.0,105.0,95.0
Sawk,6.0,2.0,8.0,0.75,600.0,Fighting,125.0,75.0,75.0,85.0
Sigilyph,6.0,2.0,8.0,0.75,623.0,Psychic/Flying,58.0,80.0,72.0,97.0
Tyrantrum,6.0,2.0,8.0,0.75,768.0,Rock/Dragon,121.0,119.0,82.0,71.0
Clefable,3.0,1.0,4.0,0.75,42.0,Fairy,70.0,73.0,95.0,60.0
Cyndaquil,3.0,1.0,4.0,0.75,170.0,Fire,52.0,43.0,39.0,65.0
Escavalier,3.0,1.0,4.0,0.75,651.0,Bug/Steel,135.0,105.0,70.0,20.0
Gallade,3.0,1.0,4.0,0.75,527.0,Psychic/Fighting,125.0,65.0,68.0,80.0
Greninja,3.0,1.0,4.0,0.75,727.0,Water/Dark,95.0,67.0,72.0,122.0
Inkay,3.0,1.0,4.0,0.75,757.0,Dark/Psychic,54.0,53.0,53.0,45.0
Lairon,3.0,1.0,4.0,0.75,332.0,Steel/Rock,90.0,140.0,60.0,40.0
Machamp,3.0,1.0,4.0,0.75,75.0,Fighting,130.0,80.0,90.0,55.0
Malamar,3.0,1.0,4.0,0.75,758.0,Dark/Psychic,92.0,88.0,86.0,73.0
Meowstic Male,3.0,1.0,4.0,0.75,747.0,Psychic,48.0,76.0,74.0,104.0
Sandile,3.0,1.0,4.0,0.75,612.0,Ground/Dark,72.0,35.0,50.0,65.0
Thundurus Therian Forme,3.0,1.0,4.0,0.75,706.0,Electric/Flying,105.0,70.0,79.0,101.0
Tympole,3.0,1.0,4.0,0.75,596.0,Water,50.0,40.0,50.0,64.0
Virizion,3.0,1.0,4.0,0.75,702.0,Grass/Fighting,90.0,72.0,91.0,108.0
Xerneas,3.0,1.0,4.0,0.75,793.0,Fairy,131.0,95.0,126.0,99.0
Absol,8.0,3.0,11.0,0.7273,393.0,Dark,130.0,60.0,65.0,75.0
Heracross,8.0,3.0,11.0,0.7273,232.0,Bug/Fighting,125.0,75.0,80.0,85.0
Illumise,8.0,3.0,11.0,0.7273,344.0,Bug,47.0,55.0,65.0,85.0
Mega Blaziken,8.0,3.0,11.0,0.7273,280.0,Fire/Fighting,160.0,80.0,80.0,100.0
Monferno,8.0,3.0,11.0,0.7273,437.0,Fire/Fighting,78.0,52.0,64.0,81.0
Volbeat,8.0,3.0,11.0,0.7273,343.0,Bug,73.0,55.0,65.0,85.0
Zapdos,8.0,3.0,11.0,0.7273,158.0,Electric/Flying,90.0,85.0,90.0,100.0
Buneary,5.0,2.0,7.0,0.7143,475.0,Normal,66.0,44.0,55.0,85.0
Cresselia,5.0,2.0,7.0,0.7143,547.0,Psychic,70.0,120.0,120.0,85.0
Galvantula,5.0,2.0,7.0,0.7143,658.0,Bug/Electric,77.0,60.0,70.0,108.0
Mega Gallade,5.0,2.0,7.0,0.7143,528.0,Psychic/Fighting,165.0,95.0,68.0,110.0
Raticate,5.0,2.0,7.0,0.7143,26.0,"Normal, Fairy",81.0,60.0,55.0,97.0
Seadra,5.0,2.0,7.0,0.7143,127.0,Water,65.0,95.0,55.0,85.0
Zangoose,5.0,2.0,7.0,0.7143,368.0,Normal,115.0,60.0,73.0,90.0
Latios,7.0,3.0,10.0,0.7,420.0,Dragon/Psychic,90.0,80.0,80.0,110.0
Moltres,7.0,3.0,10.0,0.7,159.0,Fire/Flying,100.0,90.0,90.0,90.0
Stoutland,7.0,3.0,10.0,0.7,568.0,Normal,110.0,90.0,85.0,80.0
Volcarona,7.0,3.0,10.0,0.7,699.0,Bug/Fire,60.0,65.0,85.0,100.0
Yanma,7.0,3.0,10.0,0.7,209.0,Bug/Flying,65.0,45.0,65.0,95.0
Lucario,8.0,4.0,12.0,0.6667,498.0,Fighting/Steel,110.0,70.0,70.0,90.0
Misdreavus,8.0,4.0,12.0,0.6667,216.0,Ghost,60.0,60.0,60.0,85.0
Elekid,6.0,3.0,9.0,0.6667,259.0,Electric,63.0,37.0,45.0,95.0
Emboar,6.0,3.0,9.0,0.6667,560.0,Fire/Fighting,123.0,65.0,110.0,65.0
Horsea,6.0,3.0,9.0,0.6667,126.0,Water,40.0,70.0,30.0,60.0
Houndoom,6.0,3.0,9.0,0.6667,248.0,Dark/Fire,90.0,50.0,75.0,95.0
Kingdra,6.0,3.0,9.0,0.6667,250.0,Water/Dragon,95.0,95.0,75.0,85.0
Palkia,6.0,3.0,9.0,0.6667,542.0,Water/Dragon,120.0,100.0,90.0,100.0
Pyroar,6.0,3.0,9.0,0.6667,737.0,Fire/Normal,68.0,72.0,86.0,106.0
Tyrunt,6.0,3.0,9.0,0.6667,767.0,Rock/Dragon,89.0,77.0,58.0,48.0
Zekrom,6.0,3.0,9.0,0.6667,708.0,Dragon/Electric,150.0,120.0,100.0,90.0
Alomomola,4.0,2.0,6.0,0.6667,656.0,"Water, Fairy",75.0,80.0,165.0,65.0
Celebi,4.0,2.0,6.0,0.6667,272.0,Psychic/Grass,100.0,100.0,100.0,100.0
Dodrio,4.0,2.0,6.0,0.6667,93.0,Normal/Flying,110.0,70.0,60.0,100.0
Dragonair,4.0,2.0,6.0,0.6667,161.0,Dragon,84.0,65.0,61.0,70.0
Keldeo Ordinary Forme,4.0,2.0,6.0,0.6667,714.0,Water/Fighting,72.0,90.0,91.0,108.0
Klinklang,4.0,2.0,6.0,0.6667,663.0,Steel,100.0,115.0,60.0,90.0
Magmar,4.0,2.0,6.0,0.6667,136.0,Fire,95.0,57.0,65.0,93.0
Mega Banette,4.0,2.0,6.0,0.6667,388.0,Ghost,165.0,75.0,64.0,75.0
Seaking,4.0,2.0,6.0,0.6667,129.0,Water,92.0,65.0,80.0,68.0
Vaporeon,4.0,2.0,6.0,0.6667,146.0,Water,65.0,60.0,130.0,65.0
Magnezone,2.0,1.0,3.0,0.6667,514.0,Electric/Steel,70.0,115.0,70.0,60.0
Sableye,2.0,1.0,3.0,0.6667,327.0,Dark/Ghost,75.0,75.0,50.0,50.0
Slurpuff,2.0,1.0,3.0,0.6667,756.0,Fairy,80.0,86.0,82.0,72.0
Taillow,2.0,1.0,3.0,0.6667,300.0,Normal/Flying,55.0,30.0,40.0,85.0
Mega Abomasnow,9.0,5.0,14.0,0.6429,512.0,Grass/Ice,132.0,105.0,90.0,30.0
Pikachu,9.0,5.0,14.0,0.6429,31.0,Electric,55.0,40.0,35.0,90.0
Charmeleon,7.0,4.0,11.0,0.6364,6.0,Fire,64.0,58.0,58.0,80.0
Dragonite,7.0,4.0,11.0,0.6364,162.0,Dragon/Flying,134.0,95.0,91.0,80.0
Giratina Origin Forme,7.0,4.0,11.0,0.6364,546.0,Ghost/Dragon,120.0,100.0,150.0,90.0
Luxray,7.0,4.0,11.0,0.6364,451.0,Electric,120.0,79.0,80.0,70.0
Simipour,7.0,4.0,11.0,0.6364,576.0,Water,98.0,63.0,75.0,101.0
Starmie,7.0,4.0,11.0,0.6364,131.0,Water/Psychic,75.0,85.0,60.0,115.0
Drifblim,5.0,3.0,8.0,0.625,474.0,Ghost/Flying,80.0,44.0,150.0,80.0
